Time,v1,v2,Tank1,Tank2,Tank3,Tank4
7.489936242030254107e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.501765178302212067e-01,2.110294279702235321e-01,3.942462196893344317e-01,1.112854819269100820e-01
7.490936367045881525e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.504829288878306859e-01,2.102399170480799273e-01,3.951640472272414661e-01,1.106034968615084713e-01
7.491936492061508034e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.507896583959470460e-01,2.094505858676679322e-01,3.960754293383207392e-01,1.099327731462466234e-01
7.492936617077135452e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.510966541513200090e-01,2.086616046177165451e-01,3.969804186252751110e-01,1.092731582812011132e-01
7.493936742092761961e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.514038655226494223e-01,2.078731399762962784e-01,3.978790671425224135e-01,1.086245009247682192e-01
7.494936867108389379e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.517112434077950434e-01,2.070853551309209672e-01,3.987714264037360290e-01,1.079866509073465625e-01
7.495936992124015887e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.520187401921291870e-01,2.062984097991162613e-01,3.996575473896328834e-01,1.073594592438072287e-01
7.496937117139643306e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.523263097080463646e-01,2.055124602494431407e-01,4.005374805554694495e-01,1.067427781457419844e-01
7.497937242155269814e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.526339071955678806e-01,2.047276593230341057e-01,4.014112758383642787e-01,1.061364610332195257e-01
7.498937367170897232e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.529414892640340307e-01,2.039441564555914965e-01,4.022789826645138955e-01,1.055403625460029915e-01
7.499937492186523741e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.532490138548339431e-01,2.031620976999034545e-01,4.031406499562464330e-01,1.049543385542653640e-01
7.500937617202151159e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.535564402051636246e-01,2.023816257488328385e-01,4.039963261389702409e-01,1.043782461687642049e-01
7.501937742217777668e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.538637288127672476e-01,2.016028799588251430e-01,4.048460591479718929e-01,1.038119437505071185e-01
7.502937867233405086e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.541708414016502160e-01,2.008259963738958376e-01,4.056898964351094983e-01,1.032552909198768271e-01
7.503937992249031595e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.544777408887223202e-01,2.000511077501372081e-01,4.065278849753621304e-01,1.027081485652441284e-01
7.504938117264659013e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.547843913513612391e-01,1.992783435807029546e-01,4.073600712732830531e-01,1.021703788510388983e-01
7.505938242280285522e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.550907579958562821e-01,1.985078301213057395e-01,4.081865013693161681e-01,1.016418452253068788e-01
7.506938367295912940e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.553968071267198270e-01,1.977396904161972113e-01,4.090072208460127645e-01,1.011224124267325192e-01
7.507938492311539449e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.557025061168350877e-01,1.969740443246429662e-01,4.098222748341298627e-01,1.006119464911416211e-01
